account_id,customer_id,account_type,account_purpose,base_currency,status,opened_on,per_transaction_limit_chf,monthly_limit_chf
AC1059,CU1045,credit,daily_spending,CHF,active,2016-05-11,4000,11000
AC1060,CU1046,debit,daily_spending,CHF,active,2014-09-02,1200,4500
AC1061,CU1047,debit,daily_spending,CHF,active,2017-08-16,800,2800
AC1062,CU1048,debit,daily_spending,CHF,active,2018-01-09,1200,4500
AC1063,CU1049,credit,daily_spending,CHF,active,2018-06-01,3500,9500
AC1064,CU1050,debit,daily_spending,CHF,active,2016-07-17,1400,5000
AC1065,CU1051,debit,daily_spending,CHF,active,2016-03-07,1400,5000
AC1066,CU1052,debit,daily_spending,CHF,active,2017-02-05,1400,5000
AC1067,CU1053,debit,daily_spending,CHF,active,2024-01-21,800,2800
AC1068,CU1054,debit,daily_spending,CHF,active,2024-09-12,800,2800
AC1069,CU1054,prepaid,travel,CHF,active,2025-06-30,800,2800
AC1070,CU1055,debit,daily_spending,CHF,active,2023-11-15,1200,4500
AC1071,CU1055,prepaid,online,CHF,active,2025-06-30,900,3200
AC1072,CU1056,debit,daily_spending,CHF,active,2021-11-07,1000,3600
AC1073,CU1057,debit,daily_spending,CHF,active,2023-06-04,1600,5500
AC1074,CU1057,prepaid,online,CHF,active,2024-05-03,1000,3600
AC1075,CU1058,debit,daily_spending,CHF,active,2023-10-23,1000,3600
AC1076,CU1059,debit,daily_spending,CHF,active,2021-10-18,800,2800
AC1077,CU1060,debit,daily_spending,CHF,active,2023-08-05,1200,4500
AC1078,CU1061,credit,daily_spending,CHF,active,2020-09-18,2000,6500
AC1079,CU1062,debit,daily_spending,CHF,active,2018-07-12,1000,4000
AC1080,CU1063,debit,daily_spending,CHF,active,2018-10-02,1600,5500
AC1081,CU1064,debit,daily_spending,CHF,active,2020-12-19,800,2800
AC1082,CU1065,debit,daily_spending,CHF,active,2014-12-16,800,2800
AC1083,CU1066,debit,daily_spending,CHF,active,2020-05-17,1400,5000
AC1084,CU1066,prepaid,online,CHF,active,2024-09-27,800,2800
AC1085,CU1067,credit,daily_spending,CHF,active,2024-03-20,2500,7500
AC1086,CU1067,credit,events,CHF,active,2024-10-15,4000,11000
AC1087,CU1068,credit,daily_spending,CHF,active,2021-01-23,3000,8500
AC1088,CU1069,debit,daily_spending,CHF,active,2017-12-17,800,2800
AC1089,CU1070,debit,daily_spending,CHF,active,2022-10-14,1400,5000
AC1090,CU1070,prepaid,travel,CHF,active,2025-06-30,800,2800
AC1091,CU1071,credit,daily_spending,CHF,active,2014-09-26,4000,11000
AC1092,CU1071,credit,business,CHF,active,2021-04-06,2500,7500
AC1093,CU1072,credit,daily_spending,CHF,active,2020-05-06,4000,11000
AC1094,CU1073,debit,daily_spending,CHF,active,2023-01-28,1600,5500
AC1095,CU1073,prepaid,online,CHF,active,2024-11-07,1000,3600
AC1096,CU1074,credit,daily_spending,CHF,active,2014-04-28,3000,8500
AC1097,CU1075,credit,daily_spending,CHF,active,2015-03-12,4000,11000
AC1098,CU1076,debit,daily_spending,CHF,active,2023-10-01,800,2800
AC1099,CU1077,debit,daily_spending,CHF,active,2024-07-20,1600,5500
AC1100,CU1077,prepaid,travel,CHF,active,2025-06-30,900,3200
AC1101,CU1078,debit,daily_spending,CHF,active,2017-07-13,1400,5000
AC1102,CU1079,debit,daily_spending,CHF,active,2016-04-23,1000,4000
AC1103,CU1079,debit,family,CHF,active,2022-10-01,1200,4500
AC1104,CU1080,debit,daily_spending,CHF,active,2015-11-05,1600,5500
AC1105,CU1081,debit,daily_spending,CHF,active,2020-12-21,1000,4000
AC1106,CU1082,debit,daily_spending,CHF,active,2021-06-17,1000,3600
AC1107,CU1083,debit,daily_spending,CHF,active,2019-01-20,1600,5500
AC1108,CU1084,debit,daily_spending,CHF,active,2019-02-12,1000,4000
AC1109,CU1085,debit,daily_spending,CHF,active,2014-10-05,1000,3600
AC1110,CU1086,debit,daily_spending,CHF,active,2021-05-21,1200,4500
AC1111,CU1087,debit,daily_spending,CHF,active,2015-06-22,1000,3600
AC1112,CU1088,credit,daily_spending,CHF,active,2024-02-17,3500,9500
AC1113,CU1089,debit,daily_spending,CHF,active,2015-09-20,1400,5000
AC1114,CU1090,credit,daily_spending,CHF,active,2023-05-26,4000,11000
AC1115,CU1091,debit,daily_spending,CHF,active,2024-11-28,1000,3600
AC1116,CU1092,credit,daily_spending,CHF,active,2020-11-01,3000,8500
AC1117,CU1092,credit,business,CHF,active,2025-06-30,4000,11000
AC1118,CU1093,debit,daily_spending,CHF,active,2019-05-26,1000,4000
AC1119,CU1094,debit,daily_spending,CHF,active,2014-01-16,1200,4500
AC1120,CU1095,debit,daily_spending,CHF,active,2017-04-19,800,2800
AC1121,CU1096,debit,daily_spending,CHF,active,2022-12-12,800,2800
AC1122,CU1097,debit,daily_spending,CHF,active,2022-09-17,1000,4000
AC1123,CU1098,credit,daily_spending,CHF,active,2020-04-10,4000,11000
AC1124,CU1099,credit,daily_spending,CHF,active,2015-05-13,2500,7500
AC1125,CU1099,credit,events,CHF,active,2020-09-02,2000,6500
AC1126,CU1100,debit,daily_spending,CHF,active,2016-10-11,800,2800
AC1127,CU1100,prepaid,travel,CHF,active,2017-06-18,600,2000
AC1128,CU1101,debit,daily_spending,CHF,active,2017-07-11,800,2800
AC1129,CU1102,credit,daily_spending,CHF,active,2017-01-28,2000,6500
AC1130,CU1102,credit,events,CHF,active,2021-06-20,4000,11000
AC1131,CU1103,debit,daily_spending,CHF,active,2017-06-25,1000,4000
AC1132,CU1103,debit,family,CHF,active,2019-07-24,1400,5000
AC1133,CU1104,debit,daily_spending,CHF,active,2016-10-26,1400,5000
AC1134,CU1105,debit,daily_spending,CHF,active,2023-05-28,1600,5500
AC1135,CU1106,debit,daily_spending,CHF,active,2021-06-19,1200,4500
AC1136,CU1106,prepaid,online,CHF,active,2023-06-06,600,2000
AC1137,CU1107,debit,daily_spending,CHF,active,2015-06-24,1400,5000
AC1138,CU1108,credit,daily_spending,CHF,active,2018-12-10,3500,9500
AC1139,CU1109,credit,daily_spending,CHF,active,2024-12-09,2000,6500
AC1140,CU1109,credit,business,CHF,active,2025-06-30,3000,8500
AC1141,CU1110,debit,daily_spending,CHF,active,2016-09-04,800,2800
AC1142,CU1111,credit,daily_spending,CHF,active,2017-01-05,3500,9500
AC1143,CU1112,debit,daily_spending,CHF,active,2023-12-14,1000,3600
AC1144,CU1112,debit,family,CHF,active,2025-06-30,800,2800
AC1145,CU1113,credit,daily_spending,CHF,active,2016-05-26,4000,11000
AC1146,CU1113,credit,events,CHF,active,2019-10-11,3500,9500
AC1147,CU1114,credit,daily_spending,CHF,active,2016-05-01,3000,8500
AC1148,CU1115,credit,daily_spending,CHF,active,2024-01-23,3000,8500
AC1149,CU1116,debit,daily_spending,CHF,active,2014-05-11,1600,5500
AC1150,CU1117,credit,daily_spending,CHF,active,2023-09-10,3500,9500
AC1151,CU1117,credit,business,CHF,active,2024-09-09,3500,9500
AC1152,CU1118,debit,daily_spending,CHF,active,2019-10-03,800,2800
AC1153,CU1119,debit,daily_spending,CHF,active,2014-03-22,800,2800
AC1154,CU1120,credit,daily_spending,CHF,active,2022-01-04,4000,11000
AC1155,CU1120,credit,travel,CHF,active,2025-04-23,3500,9500
AC1156,CU1121,debit,daily_spending,CHF,active,2015-07-26,800,2800
AC1157,CU1122,debit,daily_spending,CHF,active,2017-11-15,800,2800
AC1158,CU1123,credit,daily_spending,CHF,active,2017-12-22,2500,7500
AC1159,CU1123,credit,events,CHF,active,2022-12-11,3500,9500
AC1160,CU1124,debit,daily_spending,CHF,active,2017-09-22,1000,4000
AC1161,CU1125,debit,daily_spending,CHF,active,2019-10-09,1400,5000
AC1162,CU1126,debit,daily_spending,CHF,active,2017-03-06,1000,3600
AC1163,CU1127,debit,daily_spending,CHF,active,2020-05-19,1400,5000
AC1164,CU1127,prepaid,travel,CHF,active,2023-07-22,800,2800
AC1165,CU1128,debit,daily_spending,CHF,active,2021-03-19,1400,5000
AC1166,CU1129,credit,daily_spending,CHF,active,2018-05-07,2000,6500
AC1167,CU1130,debit,daily_spending,CHF,active,2015-10-15,1600,5500
AC1168,CU1131,debit,daily_spending,CHF,active,2018-12-19,1000,3600
AC1169,CU1132,debit,daily_spending,CHF,active,2023-06-11,1000,4000
AC1170,CU1133,debit,daily_spending,CHF,active,2015-11-13,1000,3600
AC1171,CU1134,debit,daily_spending,CHF,active,2019-04-10,1400,5000
AC1172,CU1135,debit,daily_spending,CHF,active,2023-10-06,1000,3600
AC1173,CU1135,debit,pet_care,CHF,active,2025-06-30,1000,4000
AC1174,CU1136,debit,daily_spending,CHF,active,2018-01-01,1000,3600
AC1175,CU1137,credit,daily_spending,CHF,active,2021-09-05,3000,8500
AC1176,CU1137,credit,events,CHF,active,2024-09-21,3500,9500
AC1177,CU1138,credit,daily_spending,CHF,active,2015-11-26,2500,7500
AC1178,CU1138,credit,events,CHF,active,2019-07-19,4000,11000
AC1179,CU1139,debit,daily_spending,CHF,active,2022-07-12,1400,5000
AC1180,CU1140,debit,daily_spending,CHF,active,2018-01-26,1200,4500
AC1181,CU1141,debit,daily_spending,CHF,active,2022-08-10,1600,5500
AC1182,CU1142,debit,daily_spending,CHF,active,2019-04-13,1400,5000
AC1183,CU1143,credit,daily_spending,CHF,active,2021-11-28,3000,8500
AC1184,CU1144,debit,daily_spending,CHF,active,2019-10-08,1400,5000
AC1185,CU1145,credit,daily_spending,CHF,active,2018-01-09,4000,11000
AC1186,CU1145,credit,travel,CHF,active,2022-08-09,2500,7500
AC1187,CU1146,debit,daily_spending,CHF,active,2015-05-01,800,2800
AC1188,CU1146,prepaid,travel,CHF,active,2021-10-10,900,3200
AC1189,CU1147,debit,daily_spending,CHF,active,2014-01-15,1000,3600
AC1190,CU1147,prepaid,travel,CHF,active,2018-08-11,600,2000
AC1191,CU1148,debit,daily_spending,CHF,active,2020-06-12,800,2800
AC1192,CU1149,credit,daily_spending,CHF,active,2017-02-02,2500,7500
AC1193,CU1150,credit,daily_spending,CHF,active,2018-12-24,2500,7500
AC1194,CU1151,debit,daily_spending,CHF,active,2022-12-09,1600,5500
AC1195,CU1152,debit,daily_spending,CHF,active,2020-02-01,1600,5500
AC1196,CU1153,credit,daily_spending,CHF,active,2016-09-06,3500,9500
AC1197,CU1154,debit,daily_spending,CHF,active,2015-02-05,1000,4000
AC1198,CU1155,credit,daily_spending,CHF,active,2022-08-28,3500,9500
AC1199,CU1156,debit,daily_spending,CHF,active,2018-03-08,1000,4000
AC1200,CU1157,credit,daily_spending,CHF,active,2018-03-26,3500,9500
AC1201,CU1158,credit,daily_spending,CHF,active,2022-06-26,4000,11000
AC1202,CU1159,debit,daily_spending,CHF,active,2024-06-07,1400,5000
AC1203,CU1160,credit,daily_spending,CHF,active,2024-07-23,4000,11000
AC1204,CU1160,credit,business,CHF,active,2025-06-30,2000,6500
AC1205,CU1161,debit,daily_spending,CHF,active,2015-09-20,1400,5000
AC1206,CU1162,debit,daily_spending,CHF,active,2018-06-28,1400,5000
AC1207,CU1163,debit,daily_spending,CHF,active,2019-07-10,1000,4000
AC1208,CU1163,prepaid,online,CHF,active,2025-03-29,900,3200
AC1209,CU1164,debit,daily_spending,CHF,active,2015-08-25,1600,5500
AC1210,CU1165,debit,daily_spending,CHF,active,2017-07-03,800,2800
AC1211,CU1166,debit,daily_spending,CHF,active,2015-07-07,1600,5500
AC1212,CU1166,debit,shared_household,CHF,active,2016-03-08,1400,5000
AC1213,CU1167,credit,daily_spending,CHF,active,2016-10-03,4000,11000
AC1214,CU1167,credit,business,CHF,active,2020-12-29,2500,7500
AC1215,CU1168,debit,daily_spending,CHF,active,2019-08-27,800,2800
AC1216,CU1169,credit,daily_spending,CHF,active,2018-05-10,2500,7500
AC1217,CU1170,debit,daily_spending,CHF,active,2023-07-26,800,2800
AC1218,CU1171,debit,daily_spending,CHF,active,2017-02-04,1000,3600
AC1219,CU1172,debit,daily_spending,CHF,active,2022-05-23,1000,4000
AC1220,CU1173,debit,daily_spending,CHF,active,2024-07-12,1200,4500
AC1221,CU1174,debit,daily_spending,CHF,active,2015-07-14,1000,4000
AC1222,CU1174,prepaid,online,CHF,active,2022-05-01,1000,3600
AC1223,CU1175,debit,daily_spending,CHF,active,2021-03-24,800,2800
AC1224,CU1176,credit,daily_spending,CHF,active,2024-05-25,3000,8500
AC1225,CU1177,debit,daily_spending,CHF,active,2016-11-04,1200,4500
AC1226,CU1178,credit,daily_spending,CHF,active,2019-07-06,3500,9500
AC1227,CU1179,credit,daily_spending,CHF,active,2014-01-23,3500,9500
AC1228,CU1180,credit,daily_spending,CHF,active,2016-04-21,2500,7500
AC1229,CU1181,credit,daily_spending,CHF,active,2023-11-28,2500,7500
AC1230,CU1182,debit,daily_spending,CHF,active,2017-03-15,1400,5000
AC1231,CU1183,credit,daily_spending,CHF,active,2018-02-04,4000,11000
AC1232,CU1184,debit,daily_spending,CHF,active,2017-09-01,1400,5000
AC1233,CU1185,credit,daily_spending,CHF,active,2023-08-23,3000,8500
AC1234,CU1186,credit,daily_spending,CHF,active,2014-11-02,2000,6500
AC1235,CU1187,credit,daily_spending,CHF,active,2016-05-10,4000,11000
AC1236,CU1188,debit,daily_spending,CHF,active,2017-11-13,1000,3600
AC1237,CU1188,debit,shared_household,CHF,active,2022-02-18,800,2800
AC1238,CU1189,credit,daily_spending,CHF,active,2014-08-14,3000,8500
AC1239,CU1190,credit,daily_spending,CHF,active,2018-06-08,4000,11000
AC1240,CU1191,credit,daily_spending,CHF,active,2016-11-26,2000,6500
AC1241,CU1191,credit,business,CHF,active,2018-02-09,2000,6500
AC1242,CU1192,debit,daily_spending,CHF,active,2023-06-02,1000,3600
AC1243,CU1193,debit,daily_spending,CHF,active,2014-11-16,1200,4500
AC1244,CU1194,credit,daily_spending,CHF,active,2023-09-12,2000,6500
AC1245,CU1194,credit,business,CHF,active,2025-06-30,3000,8500
AC1246,CU1195,debit,daily_spending,CHF,active,2017-06-01,800,2800
AC1247,CU1196,credit,daily_spending,CHF,active,2023-06-22,4000,11000
AC1248,CU1197,debit,daily_spending,CHF,active,2024-08-25,1000,4000
AC1249,CU1198,debit,daily_spending,CHF,active,2021-10-18,1000,3600
AC1250,CU1199,credit,daily_spending,CHF,active,2016-11-11,3500,9500
AC1251,CU1200,credit,daily_spending,CHF,active,2021-06-06,3000,8500
AC1252,CU1200,credit,business,CHF,active,2023-10-03,3500,9500
AC1253,CU1201,debit,daily_spending,CHF,active,2024-05-26,1200,4500
AC1254,CU1202,debit,daily_spending,CHF,active,2020-05-06,1600,5500
AC1255,CU1203,debit,daily_spending,CHF,active,2018-01-18,1000,4000
AC1256,CU1204,debit,daily_spending,CHF,active,2019-04-19,1000,3600
AC1257,CU1204,prepaid,travel,CHF,active,2020-12-04,600,2000
AC1258,CU1205,debit,daily_spending,CHF,active,2021-03-17,1200,4500
AC1259,CU1206,debit,daily_spending,CHF,active,2015-12-04,1000,4000
AC1260,CU1206,credit,renovation,CHF,active,2019-06-30,2500,7500
AC1261,CU1207,credit,daily_spending,CHF,active,2024-11-09,4000,11000
AC1262,CU1208,debit,daily_spending,CHF,active,2016-02-23,800,2800
AC1263,CU1209,credit,daily_spending,CHF,active,2015-08-08,4000,11000
AC1264,CU1209,credit,travel,CHF,active,2021-01-11,4000,11000
AC1265,CU1210,credit,daily_spending,CHF,active,2024-01-17,3000,8500
AC1266,CU1211,debit,daily_spending,CHF,active,2019-11-20,1200,4500
AC1267,CU1212,debit,daily_spending,CHF,active,2021-09-20,1000,4000
AC1268,CU1212,prepaid,travel,CHF,active,2024-01-08,600,2000
AC1269,CU1213,debit,daily_spending,CHF,active,2017-05-07,1200,4500
AC1270,CU1214,debit,daily_spending,CHF,active,2014-11-01,1400,5000
AC1271,CU1215,debit,daily_spending,CHF,active,2020-11-20,1600,5500
AC1272,CU1215,prepaid,travel,CHF,active,2025-06-30,900,3200
AC1273,CU1216,debit,daily_spending,CHF,active,2019-01-13,1400,5000
AC1274,CU1216,prepaid,travel,CHF,active,2023-03-27,800,2800
AC1275,CU1217,debit,daily_spending,CHF,active,2019-11-02,1000,4000
AC1276,CU1218,debit,daily_spending,CHF,active,2023-09-18,1000,3600
AC1277,CU1219,debit,daily_spending,CHF,active,2015-04-21,1000,3600
AC1278,CU1220,debit,daily_spending,CHF,active,2017-11-07,1000,3600
AC1279,CU1221,debit,daily_spending,CHF,active,2024-04-18,1000,3600
AC1280,CU1222,credit,daily_spending,CHF,active,2024-02-02,2000,6500
AC1281,CU1222,credit,business,CHF,active,2025-03-01,4000,11000
AC1282,CU1223,debit,daily_spending,CHF,active,2020-03-01,1200,4500
AC1283,CU1224,credit,daily_spending,CHF,active,2015-10-08,3000,8500
AC1284,CU1225,credit,daily_spending,CHF,active,2017-12-01,2000,6500
AC1285,CU1225,credit,business,CHF,active,2022-06-22,4000,11000
AC1286,CU1226,debit,daily_spending,CHF,active,2020-01-15,800,2800
AC1287,CU1227,debit,daily_spending,CHF,active,2014-08-18,1000,3600
AC1288,CU1228,debit,daily_spending,CHF,active,2017-06-05,1400,5000
AC1289,CU1229,debit,daily_spending,CHF,active,2018-10-28,1400,5000
AC1290,CU1229,debit,pet_care,CHF,active,2024-12-17,1600,5500
AC1291,CU1230,debit,daily_spending,CHF,active,2015-11-03,800,2800
AC1292,CU1231,credit,daily_spending,CHF,active,2017-03-17,3500,9500
AC1293,CU1232,credit,daily_spending,CHF,active,2024-03-16,3500,9500
AC1294,CU1232,credit,business,CHF,active,2024-12-08,3000,8500
AC1295,CU1233,debit,daily_spending,CHF,active,2018-06-14,1000,4000
AC1296,CU1234,debit,daily_spending,CHF,active,2023-06-18,1600,5500
AC1297,CU1235,credit,daily_spending,CHF,active,2015-12-25,3000,8500
AC1298,CU1235,credit,business,CHF,active,2017-01-24,3500,9500
AC1299,CU1236,debit,daily_spending,CHF,active,2018-08-13,1400,5000
AC1300,CU1237,debit,daily_spending,CHF,active,2015-05-18,1000,3600
AC1301,CU1238,debit,daily_spending,CHF,active,2016-10-06,1200,4500
AC1302,CU1239,debit,daily_spending,CHF,active,2017-12-04,1600,5500
AC1303,CU1240,credit,daily_spending,CHF,active,2022-08-01,2000,6500
AC1304,CU1241,credit,daily_spending,CHF,active,2021-02-22,3500,9500
AC1305,CU1242,debit,daily_spending,CHF,active,2017-04-01,1200,4500
AC1306,CU1242,prepaid,online,CHF,active,2019-09-22,1000,3600
AC1307,CU1243,debit,daily_spending,CHF,active,2019-08-17,1600,5500
AC1308,CU1244,debit,daily_spending,CHF,active,2015-04-14,1000,3600
AC1309,CU1244,credit,renovation,CHF,active,2017-10-18,4000,11000
AC1310,CU1245,debit,daily_spending,CHF,active,2019-10-12,800,2800
AC1311,CU1246,debit,daily_spending,CHF,active,2021-08-23,1000,4000
AC1312,CU1247,credit,daily_spending,CHF,active,2016-11-04,3500,9500
AC1313,CU1248,debit,daily_spending,CHF,active,2014-05-24,1000,3600
AC1314,CU1249,debit,daily_spending,CHF,active,2014-03-25,1000,3600
AC1315,CU1250,credit,daily_spending,CHF,active,2017-06-08,3500,9500
AC1316,CU1251,debit,daily_spending,CHF,active,2015-12-10,1400,5000
AC1317,CU1252,credit,daily_spending,CHF,active,2016-04-03,2500,7500
AC1318,CU1253,debit,daily_spending,CHF,active,2021-01-04,1200,4500
AC1319,CU1254,debit,daily_spending,CHF,active,2015-06-03,1400,5000
AC1320,CU1254,credit,renovation,CHF,active,2020-08-03,4000,11000
AC1321,CU1255,credit,daily_spending,CHF,active,2024-07-01,3000,8500
AC1322,CU1256,credit,daily_spending,CHF,active,2022-06-28,3000,8500
AC1323,CU1257,debit,daily_spending,CHF,active,2015-01-07,1000,4000
AC1324,CU1258,debit,daily_spending,CHF,active,2016-12-09,800,2800
AC1325,CU1259,debit,daily_spending,CHF,active,2014-03-12,1600,5500
AC1326,CU1260,credit,daily_spending,CHF,active,2020-04-19,2500,7500
AC1327,CU1260,credit,events,CHF,active,2025-06-30,3500,9500
AC1328,CU1261,debit,daily_spending,CHF,active,2017-02-19,1000,4000
AC1329,CU1262,credit,daily_spending,CHF,active,2020-04-27,3000,8500
AC1330,CU1263,credit,daily_spending,CHF,active,2022-09-05,3500,9500
AC1331,CU1264,debit,daily_spending,CHF,active,2016-01-18,1400,5000
AC1332,CU1265,debit,daily_spending,CHF,active,2014-12-06,1000,4000
AC1333,CU1266,credit,daily_spending,CHF,active,2018-11-20,2000,6500
AC1334,CU1267,credit,daily_spending,CHF,active,2020-02-16,2000,6500
AC1335,CU1268,credit,daily_spending,CHF,active,2023-07-21,2000,6500
AC1336,CU1269,credit,daily_spending,CHF,active,2024-10-03,3500,9500
AC1337,CU1270,credit,daily_spending,CHF,active,2021-09-03,2500,7500
AC1338,CU1270,credit,business,CHF,active,2025-06-30,2500,7500
AC1339,CU1271,debit,daily_spending,CHF,active,2021-06-10,1200,4500
AC1340,CU1271,debit,pet_care,CHF,active,2022-08-04,800,2800
AC1341,CU1272,credit,daily_spending,CHF,active,2020-06-09,4000,11000
AC1342,CU1273,credit,daily_spending,CHF,active,2021-04-07,2000,6500
AC1343,CU1273,credit,travel,CHF,active,2025-06-30,3000,8500
AC1344,CU1274,debit,daily_spending,CHF,active,2023-06-09,1000,4000
AC1345,CU1275,credit,daily_spending,CHF,active,2019-06-08,3000,8500
AC1346,CU1276,credit,daily_spending,CHF,active,2019-08-15,2500,7500
AC1347,CU1277,credit,daily_spending,CHF,active,2018-08-24,2500,7500
AC1348,CU1277,credit,travel,CHF,active,2023-05-29,3000,8500
AC1349,CU1278,credit,daily_spending,CHF,active,2019-02-03,2500,7500
AC1350,CU1279,credit,daily_spending,CHF,active,2014-05-02,3000,8500
AC1351,CU1280,credit,daily_spending,CHF,active,2015-05-25,4000,11000
AC1352,CU1280,credit,business,CHF,active,2018-09-04,2500,7500
AC1353,CU1281,debit,daily_spending,CHF,active,2024-08-10,800,2800
AC1354,CU1282,debit,daily_spending,CHF,active,2019-01-15,1000,3600
AC1355,CU1283,debit,daily_spending,CHF,active,2022-09-25,1000,3600
AC1356,CU1283,credit,renovation,CHF,active,2025-06-30,3000,8500
AC1357,CU1284,debit,daily_spending,CHF,active,2016-09-06,1600,5500
AC1358,CU1285,debit,daily_spending,CHF,active,2014-02-23,1000,4000
AC1359,CU1286,debit,daily_spending,CHF,active,2019-04-01,1000,4000
AC1360,CU1286,credit,renovation,CHF,active,2021-06-19,3000,8500
AC1361,CU1287,credit,daily_spending,CHF,active,2015-05-14,4000,11000
AC1362,CU1288,debit,daily_spending,CHF,active,2019-01-13,1400,5000
AC1363,CU1289,debit,daily_spending,CHF,active,2017-12-11,1600,5500
AC1364,CU1290,debit,daily_spending,CHF,active,2018-09-27,1200,4500
AC1365,CU1291,debit,daily_spending,CHF,active,2024-08-22,1200,4500
AC1366,CU1291,debit,family,CHF,active,2025-06-30,1600,5500
AC1367,CU1292,debit,daily_spending,CHF,active,2023-03-27,1200,4500
AC1368,CU1293,debit,daily_spending,CHF,active,2020-07-06,1400,5000
AC1369,CU1294,credit,daily_spending,CHF,active,2023-09-11,2000,6500
AC1370,CU1294,credit,business,CHF,active,2025-06-30,3500,9500
AC1371,CU1295,debit,daily_spending,CHF,active,2022-12-15,1200,4500
AC1372,CU1296,debit,daily_spending,CHF,active,2022-06-15,1600,5500
